State, FacilityName, FacilityID, UnitID, Year, Latitude,Longitude
AL,Greene County,10,CT8,2014,32.6017,-87.7811
AL,Greene County,10,CT9,2010,32.6017,-87.7811
AL,Greene County,10,CT9,2011,32.6017,-87.7811
AL,Greene County,10,CT9,2012,32.6017,-87.7811
AL,Greene County,10,CT9,2013,32.6017,-87.7811
AL,Greene County,10,CT9,2014,32.6017,-87.7811
AL,Hillabee Energy Center,55411,CT1,2010,33,-85.9031
AL,Hillabee Energy Center,55411,CT1,2011,33,-85.9031
AL,Hillabee Energy Center,55411,CT1,2012,33,-85.9031
AL,Hillabee Energy Center,55411,CT1,2013,33,-85.9031
AL,Hillabee Energy Center,55411,CT1,2014,33,-85.9031
AL,Hillabee Energy Center,55411,CT2,2010,33,-85.9031
AL,Hillabee Energy Center,55411,CT2,2011,33,-85.9031
AL,Hillabee Energy Center,55411,CT2,2012,33,-85.9031
AL,Hillabee Energy Center,55411,CT2,2013,33,-85.9031
AL,Hillabee Energy Center,55411,CT2,2014,33,-85.9031
AL,Hog Bayou Energy Center,55241,COG01,2010,30.7478,-88.0575
AL,Hog Bayou Energy Center,55241,COG01,2011,30.7478,-88.0575
AL,Hog Bayou Energy Center,55241,COG01,2012,30.7478,-88.0575
AL,Hog Bayou Energy Center,55241,COG01,2013,30.7478,-88.0575
AL,Hog Bayou Energy Center,55241,COG01,2014,30.7478,-88.0575
AL,International Paper-Courtland Mill,50245,GTX017,2010,34.735,-87.3108
AL,International Paper-Courtland Mill,50245,GTX017,2011,34.735,-87.3108
AL,International Paper-Courtland Mill,50245,GTX017,2012,34.735,-87.3108
AL,International Paper-Courtland Mill,50245,GTX017,2013,34.735,-87.3108
AL,International Paper-Courtland Mill,50245,GTX017,2014,34.735,-87.3108
AL,International Paper-Courtland Mill,50245,PBX007,2010,34.735,-87.3108
AL,International Paper-Courtland Mill,50245,PBX007,2011,34.735,-87.3108
AL,International Paper-Courtland Mill,50245,PBX007,2012,34.735,-87.3108
AL,International Paper-Courtland Mill,50245,PBX007,2013,34.735,-87.3108
AL,International Paper-Courtland Mill,50245,PBX007,2014,34.735,-87.3108
AL,International Paper-Prattville Mill,52140,Z006,2010,32.4167,-86.4667
AL,International Paper-Prattville Mill,52140,Z006,2011,32.4167,-86.4667
AL,International Paper-Prattville Mill,52140,Z006,2012,32.4167,-86.4667
AL,International Paper-Prattville Mill,52140,Z006,2013,32.4167,-86.4667
AL,International Paper-Prattville Mill,52140,Z006,2014,32.4167,-86.4667
AL,International Paper-Prattville Mill,52140,Z008,2010,32.4167,-86.4667
AL,International Paper-Prattville Mill,52140,Z008,2011,32.4167,-86.4667
AL,International Paper-Prattville Mill,52140,Z008,2012,32.4167,-86.4667
AL,International Paper-Prattville Mill,52140,Z008,2013,32.4167,-86.4667
AL,International Paper-Prattville Mill,52140,Z008,2014,32.4167,-86.4667
AL,International Paper-Riverdale Mill,54096,X026,2010,32.425,-86.8694
AL,International Paper-Riverdale Mill,54096,X026,2011,32.425,-86.8694
AL,International Paper-Riverdale Mill,54096,X026,2012,32.425,-86.8694
AL,International Paper-Riverdale Mill,54096,X026,2013,32.425,-86.8694
AL,International Paper-Riverdale Mill,54096,X026,2014,32.425,-86.8694
AL,International Paper-Riverdale Mill,54096,Z007,2010,32.425,-86.8694
AL,International Paper-Riverdale Mill,54096,Z007,2011,32.425,-86.8694
AL,International Paper-Riverdale Mill,54096,Z007,2012,32.425,-86.8694
AL,International Paper-Riverdale Mill,54096,Z007,2013,32.425,-86.8694
AL,International Paper-Riverdale Mill,54096,Z007,2014,32.425,-86.8694
AL,James H Miller Jr,6002,1,2010,33.6319,-87.0597
AL,James H Miller Jr,6002,1,2011,33.6319,-87.0597
AL,James H Miller Jr,6002,1,2012,33.6319,-87.0597
AL,James H Miller Jr,6002,1,2013,33.6319,-87.0597
AL,James H Miller Jr,6002,1,2014,33.6319,-87.0597
AL,James H Miller Jr,6002,2,2010,33.6319,-87.0597
AL,James H Miller Jr,6002,2,2011,33.6319,-87.0597
AL,James H Miller Jr,6002,2,2012,33.6319,-87.0597
AL,James H Miller Jr,6002,2,2013,33.6319,-87.0597
AL,James H Miller Jr,6002,2,2014,33.6319,-87.0597
AL,James H Miller Jr,6002,3,2010,33.6319,-87.0597
AL,James H Miller Jr,6002,3,2011,33.6319,-87.0597
AL,James H Miller Jr,6002,3,2012,33.6319,-87.0597
AL,James H Miller Jr,6002,3,2013,33.6319,-87.0597
AL,James H Miller Jr,6002,3,2014,33.6319,-87.0597
AL,James H Miller Jr,6002,4,2010,33.6319,-87.0597
AL,James H Miller Jr,6002,4,2011,33.6319,-87.0597
AL,James H Miller Jr,6002,4,2012,33.6319,-87.0597
AL,James H Miller Jr,6002,4,2013,33.6319,-87.0597
AL,James H Miller Jr,6002,4,2014,33.6319,-87.0597
AL,McIntosh (7063),7063,**1,2010,31.2546,-88.0299
AL,McIntosh (7063),7063,**1,2011,31.2546,-88.0299
AL,McIntosh (7063),7063,**1,2012,31.2546,-88.0299
AL,McIntosh (7063),7063,**1,2013,31.2546,-88.0299
AL,McIntosh (7063),7063,**1,2014,31.2546,-88.0299
AL,McIntosh (7063),7063,**2,2010,31.2546,-88.0299
AL,McIntosh (7063),7063,**2,2011,31.2546,-88.0299
AL,McIntosh (7063),7063,**2,2012,31.2546,-88.0299
AL,McIntosh (7063),7063,**2,2013,31.2546,-88.0299
AL,McIntosh (7063),7063,**2,2014,31.2546,-88.0299
AL,McIntosh (7063),7063,**3,2010,31.2546,-88.0299
AL,McIntosh (7063),7063,**3,2011,31.2546,-88.0299
AL,McIntosh (7063),7063,**3,2012,31.2546,-88.0299
